Address,LAT,LONG,Price_per_perch,Road,City,School,Hospital,index
120 kotagedara junchion,6.77650124,79.92694831,5.13,450.00,1146.00,2678.00,3117.00,1
130 batakatthara junchion,6.782965968,79.92321303,6.25,220.00,1971.00,1911.00,2363.00,2
130 gonamaditta road,6.789807636,79.93364113,8.11,850.00,1037.00,1707.00,2008.00,3
130 jayanthi road,6.8012162,79.91764589,11.36,270.00,568.00,530.00,706.00,4
130 kahapola bolgoda lake,6.756411178,79.93471366,8.69,450.00,1251.00,5055.00,4812.00,5
130 kotagedara junchion,6.775924054,79.92597773,5.88,400.00,1132.00,2723.00,3167.00,6
130 kotagedara junchion,6.776511711,79.92427138,6.93,330.00,1285.00,2635.00,3085.00,7
130 kotagedara junchion,6.777289444,79.92488293,6.19,340.00,1323.00,2556.00,3004.00,8
130 nilkamal junchion new city skeem,6.779056929,79.92595223,6.98,153.00,1451.00,2378.00,2820.00,9
2 kanuwa junction  egodawatta road,6.847166189,79.90773548,5.29,400.00,949.00,2414.00,1227.00,10
2 kanuwa road kotagedara,6.776932742,79.92297612,8.50,300.00,1407.00,2580.00,3034.00,11
255  jayanthi road piliyandala town,6.801338125,79.91712869,10.99,270.00,624.00,589.00,650.00,12
255 road ekamuthu uyana,6.781599223,79.93157589,7.99,140.00,1639.00,2305.00,2700.00,13
255 suwarapola jayanthi road,6.800967282,79.91710643,10.90,230.00,631.00,584.00,672.00,14
"3rd Lane,Niwanthidiya",6.825469886,79.92696807,10.71,160.00,1271.00,2096.00,1673.00,15
BATAKETHHTHARATA,6.784337103,79.9223976,8.03,20.00,1900.00,1755.00,2210.00,16
Batakettara - Gadabuwana road,6.785043796,79.92531828,8.38,350.00,1882.00,1710.00,2151.00,17
"Batakettara, Piliyandala",6.786247206,79.9240947,7.18,250.00,1733.00,1556.00,2003.00,18
batuwandara piliyandala,6.764571827,79.94693097,9.03,170.00,1638.00,4812.00,4012.00,19
Bokundara,6.816892212,79.92013368,8.54,300.00,315.00,1882.00,1034.00,20
"Bokundara Road, Makuluduwa,Piliyandala",6.814268363,79.92947541,11.37,100.00,605.00,1767.00,1114.00,21
Bolgoda,6.742435355,79.93922981,7.95,500.00,2884.00,5989.00,5231.00,22
Bolgoda,6.736926848,79.93456725,6.19,350.00,3363.00,7162.00,5994.00,23
"boralesgamuwa, neelammahara road, isuru uyana",6.823817761,79.92137762,9.70,250.00,703.00,2427.00,1749.00,24
"Dampe, Piliyandala",6.770109844,79.91647811,8.42,60.00,1619.00,3400.00,3856.00,25
gagabada road suwarapola junchion,6.798557866,79.91076563,13.10,220.00,151.00,1293.00,1472.00,26
"Galwathkada Amuna Road, Heraliyawala",6.77080658,79.96233417,7.35,500.00,1762.00,5522.00,2263.00,27
gangarama road piliyandala,6.806250559,79.91285909,7.82,130.00,948.00,1251.00,866.00,28
gangarama road piliyandala,6.805986243,79.90894966,7.92,200.00,969.00,1621.00,1402.00,29
gonamadiththa road,6.78728015,79.93481045,7.84,160.00,1159.00,1996.00,2312.00,30
gonamaditta road,6.786488214,79.93360584,8.22,100.00,1309.00,1971.00,2312.00,31
kasbawa Piliyandala,6.791036097,79.93854787,9.03,450.00,587.00,2073.00,2288.00,32
"Kela Pansala Road, Madapatha",6.771923615,79.93090363,8.09,560.00,560.00,3280.00,3705.00,33
kesbawa,6.799047831,79.9344581,9.07,350.00,788.00,1360.00,1422.00,34
kesbawa,6.804239566,79.91846767,9.44,570.00,548.00,625.00,1444.00,35
"Kesbewa, Piliyandala",6.786943357,79.95111577,7.71,790.00,900.00,3527.00,2780.00,36
"Kospalanwatte, Suwarapola",6.795281939,79.91711141,4.60,760.00,645.00,787.00,1073.00,37
kotagedara madapatha road,6.777861727,79.92183264,7.03,430.00,1566.00,2476.00,2932.00,38
Kotagethara Piliyandala,6.777404818,79.91995094,5.94,800.00,1670.00,2540.00,2997.00,39
madapath piliyandala,6.770197093,79.93233571,8.76,250.00,411.00,3512.00,3931.00,40
Madapatha,6.772556802,79.9301256,7.99,220.00,632.00,3188.00,3616.00,41
Madapatha,6.772582417,79.93556673,6.72,1300.00,835.00,3401.00,3797.00,42
Madapatha,6.768691916,79.92825379,9.33,460.00,334.00,3559.00,3998.00,43
Madapatha junction,6.766650452,79.93269662,10.42,220.00,228.00,3899.00,3723.00,44
Madapatha Piliyandala,6.767772501,79.93259531,10.84,160.00,236.00,3777.00,3699.00,45
madapatha road,6.781410278,79.92505681,7.81,215.00,1731.00,2104.00,2549.00,46
"Madapatha road, Kolamunna, Piliyandala",6.793965163,79.92464881,8.02,200.00,893.00,733.00,1059.00,47
makandana,6.776164816,79.95101774,8.88,50.00,409.00,4162.00,2987.00,48
Makandana,6.779476805,79.95072253,8.42,210.00,207.00,3910.00,2907.00,49
Makandana,6.778454195,79.95079383,8.97,110.00,226.00,3984.00,2929.00,50
Makandana,6.774619999,79.95106065,8.23,150.00,560.00,4278.00,3048.00,51
makandana,6.773644132,79.9510671,9.23,140.00,660.00,4351.00,3094.00,52
makandana piliyandala,6.776463124,79.95068514,8.31,135.00,361.00,4112.00,3010.00,53
